Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Luis Abram,pe PER,DF,Atlanta Utd,26,1996,16.2,1,0,0,6,5,1,1,16,9,0,1,0,71,19,14,57.6,Matches
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,28,1994,21.3,9,1,1,32,7,2,2,34,11,0,0,0,88,34,33,50.7,Matches
3,Daniel Aceves,mx MEX,DF,Chicago Fire,21,2001,9.5,1,0,0,10,7,0,33,15,20,0,0,0,51,10,11,47.6,Matches
4,Bryan Acosta,hn HON,MF,Colorado Rapids,29,1993,12.4,6,0,0,25,5,3,49,7,15,0,0,0,66,15,11,57.7,Matches
5,Bryan Acosta,hn HON,MF,Portland Timbers,29,1993,5.1,1,0,0,14,3,0,6,8,12,0,0,0,34,8,4,66.7,Matches
6,Kellyn Acosta,us USA,MF,Los Angeles FC,27,1995,16.6,5,0,0,25,13,0,58,18,20,0,0,0,100,10,16,38.5,Matches
7,Luciano Acosta,ar ARG,MF,FC Cincinnati,28,1994,28.9,7,0,0,48,61,5,121,18,19,1,0,0,136,3,13,18.8,Matches
8,Sam Adekugbe,ca CAN,"FW,DF",Vancouver,28,1995,4.5,2,0,0,8,2,0,16,7,3,0,0,0,23,4,10,28.6,Matches
9,Samuel Adeniran,us USA,FW,St. Louis,24,1998,10.5,3,1,1,12,2,7,15,3,4,0,1,0,17,39,27,59.1,Matches
10,Harrison Afful,gh GHA,DF,Charlotte,36,1986,10.6,3,0,0,13,4,0,7,22,7,0,0,0,92,11,5,68.8,Matches
11,Stephen Afrifa,ca CAN,FW,Sporting KC,21,2001,0.6,0,0,0,1,0,0,0,1,0,0,0,0,3,0,1,0.0,Matches
12,William Agada,ng NGA,FW,Sporting KC,23,1999,7.6,1,0,0,12,6,6,0,2,2,1,0,0,18,8,25,24.2,Matches
13,Giovanni Aguilar,us USA,MF,Vancouver,24,1998,0.1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,Matches
14,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,23,1999,6.4,3,0,0,6,15,0,17,6,2,1,1,0,31,5,10,33.3,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,22,2000,2.1,3,0,0,13,4,1,0,0,0,0,0,0,6,9,7,56.3,Matches
16,Ali Ahmed,ca CAN,"MF,DF",Vancouver,22,2000,12.5,2,0,0,17,40,0,23,18,27,0,0,0,98,6,10,37.5,Matches
17,Carlos Akapo,gq EQG,DF,San Jose,29,1993,23.8,3,0,0,30,35,2,48,42,37,0,0,0,155,49,48,50.5,Matches
18,Matai Akinmboni,us USA,DF,D.C. United,16,2006,2.0,0,0,0,1,1,0,1,1,1,0,1,0,8,3,1,75.0,Matches
19,Ayo Akinola,ca CAN,FW,Toronto FC,23,2000,6.2,0,0,0,9,3,8,5,0,1,0,0,0,13,5,11,31.3,Matches
20,Ayo Akinola,ca CAN,"FW,MF",San Jose,23,2000,0.6,0,0,0,2,1,0,0,0,1,0,0,0,2,0,4,0.0,Matches
21,Joey Akpunonu,us USA,DF,FC Cincinnati,21,2001,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,33,1989,4.9,1,0,0,1,4,0,14,1,5,0,0,0,24,0,2,0.0,Matches
23,Tony Alfaro,us USA,DF,NYCFC,29,1993,4.2,2,0,0,5,0,0,3,4,1,0,1,0,16,3,5,37.5,Matches
24,Tony Alfaro,us USA,DF,LA Galaxy,29,1993,4.2,1,0,0,7,1,0,0,5,3,0,0,0,20,4,4,50.0,Matches
25,Noah Allen,us USA,DF,Inter Miami,18,2004,13.9,3,0,0,14,3,3,27,14,16,0,0,0,76,7,5,58.3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,Rasmus Alm,se SWE,"MF,FW",St. Louis,27,1995,12.2,4,0,0,30,11,3,33,5,12,0,0,0,53,15,21,41.7,Matches
27,Thiago Almada,ar ARG,MF,Atlanta Utd,21,2001,30.3,6,1,1,23,56,0,122,9,14,0,0,0,157,2,10,16.7,Matches
28,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,37,1985,1.1,1,0,0,2,4,0,0,0,2,0,0,0,8,1,0,100.0,Matches
29,Jozy Altidore,us USA,FW,New England,33,1989,2.3,1,0,0,2,6,0,0,0,0,0,0,0,8,2,1,66.7,Matches
30,Efrain Alvarez,mx MEX,"MF,FW",LA Galaxy,20,2002,4.2,0,0,0,5,2,0,26,3,0,0,0,0,19,0,3,0.0,Matches
31,Fernando Álvarez,co COL,DF,CF Montréal,19,2003,2.8,0,0,0,2,1,0,0,7,2,0,0,0,12,5,5,50.0,Matches
32,Luis Amarilla,py PAR,FW,Minnesota Utd,27,1995,8.2,2,0,0,5,16,9,1,0,3,1,0,0,33,23,26,46.9,Matches
33,Frankie Amaya,us USA,MF,NY Red Bulls,22,2000,21.3,4,0,0,32,17,0,49,27,23,0,0,0,177,14,19,42.4,Matches
34,Malte Amundsen,dk DEN,DF,Columbus Crew,24,1998,21.0,7,0,0,27,5,0,14,45,25,0,0,0,147,16,23,41.0,Matches
35,Sebastian Anderson,us USA,DF,Colorado Rapids,20,2002,3.0,0,0,0,7,5,0,7,1,2,0,0,0,10,1,3,25.0,Matches
36,José Andrés Martínez,ve VEN,MF,Philadelphia,28,1994,20.3,11,0,0,33,38,0,18,33,30,0,0,0,191,19,14,57.6,Matches
37,Iván Angulo,co COL,"FW,DF",Orlando City,23,1999,27.6,5,0,0,20,30,11,48,17,17,0,0,0,126,1,17,5.6,Matches
38,Marco Angulo,ec ECU,MF,FC Cincinnati,20,2002,8.7,2,0,0,10,3,1,0,14,15,0,0,0,78,5,13,27.8,Matches
39,Eugene Ansah,gh GHA,FW,FC Dallas,28,1994,2.0,0,0,0,8,3,3,5,1,2,0,0,0,8,6,10,37.5,Matches
40,Themi Antonoglou,ca CAN,"DF,MF",Toronto FC,21,2001,5.3,2,0,0,10,2,0,8,5,5,0,0,0,34,1,3,25.0,Matches
41,Antony,br BRA,"FW,MF",Portland Timbers,21,2001,2.8,1,0,0,4,4,1,11,3,3,0,0,0,8,6,2,75.0,Matches
42,Brian Anunga,cm CMR,MF,Nashville,26,1996,6.3,2,0,0,14,2,0,1,11,10,0,0,0,50,5,5,50.0,Matches
43,Cristian Arango,co COL,FW,Real Salt Lake,27,1995,8.4,2,0,0,20,15,5,9,2,8,0,0,0,13,19,12,61.3,Matches
44,César Araujo,uy URU,MF,Orlando City,21,2001,30.3,8,0,0,47,100,1,11,23,31,0,0,0,223,17,29,37.0,Matches
45,Luiz Araújo,br BRA,FW,Atlanta Utd,26,1996,14.1,3,1,1,13,35,2,26,8,12,0,0,0,59,5,4,55.6,Matches
46,Miguel Araujo,pe PER,DF,Portland Timbers,28,1994,1.9,1,0,0,1,0,0,0,2,2,0,0,0,9,3,4,42.9,Matches
47,Scott Arfield,ca CAN,"MF,FW",Charlotte,34,1988,4.6,1,0,0,6,1,0,3,3,2,0,0,0,26,4,8,33.3,Matches
