Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Luis Abram,pe PER,DF,Atlanta Utd,26,1996,16.2,796,907,87.8,15646,5884,250,271,92.3,459,491,93.5,82,133,61.7,0,0.0,0.1,0.0,1,20,1,0,29,Matches
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,28,1994,21.3,952,1109,85.8,16684,5691,395,432,91.4,481,526,91.4,64,122,52.5,0,0.2,0.7,-0.2,3,48,1,1,50,Matches
3,Daniel Aceves,mx MEX,DF,Chicago Fire,21,2001,9.5,321,436,73.6,5241,1827,164,186,88.2,136,177,76.8,19,49,38.8,0,0.4,0.4,-0.4,7,25,7,4,24,Matches
4,Bryan Acosta,hn HON,MF,Colorado Rapids,29,1993,12.4,417,533,78.2,9475,2756,127,144,88.2,189,213,88.7,96,156,61.5,0,2.7,1.7,-2.7,25,57,7,1,53,Matches
5,Bryan Acosta,hn HON,MF,Portland Timbers,29,1993,5.1,192,222,86.5,3719,929,67,73,91.8,93,103,90.3,29,37,78.4,1,0.9,0.7,+0.1,3,27,2,0,19,Matches
6,Kellyn Acosta,us USA,MF,Los Angeles FC,27,1995,16.6,584,719,81.2,9606,3093,305,335,91.0,203,244,83.2,58,111,52.3,0,1.1,1.5,-1.1,17,69,2,0,58,Matches
7,Luciano Acosta,ar ARG,MF,FC Cincinnati,28,1994,28.9,1043,1474,70.8,17295,6558,556,660,84.2,324,455,71.2,117,239,49.0,10,10.2,10.2,-0.2,97,135,84,6,218,Matches
8,Sam Adekugbe,ca CAN,"FW,DF",Vancouver,28,1995,4.5,205,248,82.7,2953,824,130,140,92.9,63,77,81.8,11,22,50.0,1,0.8,0.8,+0.2,6,18,11,5,17,Matches
9,Samuel Adeniran,us USA,FW,St. Louis,24,1998,10.5,91,163,55.8,1426,270,45,80,56.3,25,41,61.0,11,16,68.8,1,1.3,0.6,-0.3,5,6,6,2,12,Matches
10,Harrison Afful,gh GHA,DF,Charlotte,36,1986,10.6,574,678,84.7,9918,3103,265,282,94.0,255,286,89.2,46,87,52.9,1,0.7,0.4,+0.3,6,39,7,2,50,Matches
11,Stephen Afrifa,ca CAN,FW,Sporting KC,21,2001,0.6,5,5,100.0,56,0,4,4,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
12,William Agada,ng NGA,FW,Sporting KC,23,1999,7.6,129,162,79.6,1756,219,86,94,91.5,34,48,70.8,4,6,66.7,0,0.6,0.3,-0.6,9,7,3,0,11,Matches
13,Giovanni Aguilar,us USA,MF,Vancouver,24,1998,0.1,3,5,60.0,54,22,1,1,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
14,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,23,1999,6.4,277,329,84.2,3774,1151,166,176,94.3,85,103,82.5,9,19,47.4,1,0.5,0.7,+0.5,10,22,3,1,32,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,22,2000,2.1,25,36,69.4,276,17,18,21,85.7,5,6,83.3,0,1,0.0,0,0.1,0.0,-0.1,1,0,1,0,2,Matches
16,Ali Ahmed,ca CAN,"MF,DF",Vancouver,22,2000,12.5,465,539,86.3,7345,1834,242,262,92.4,178,197,90.4,34,48,70.8,1,1.2,1.8,-0.2,13,39,26,7,71,Matches
17,Carlos Akapo,gq EQG,DF,San Jose,29,1993,23.8,991,1299,76.3,15713,6281,528,596,88.6,373,484,77.1,66,115,57.4,3,1.7,1.8,+1.3,12,62,18,6,99,Matches
18,Matai Akinmboni,us USA,DF,D.C. United,16,2006,2.0,90,107,84.1,1788,668,27,28,96.4,53,59,89.8,10,15,66.7,0,0.0,0.0,0.0,0,3,0,0,4,Matches
19,Ayo Akinola,ca CAN,FW,Toronto FC,23,2000,6.2,125,150,83.3,1623,222,76,87,87.4,33,37,89.2,4,5,80.0,0,0.3,0.4,-0.3,4,1,4,2,8,Matches
20,Ayo Akinola,ca CAN,"FW,MF",San Jose,23,2000,0.6,12,14,85.7,154,9,8,9,88.9,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
