Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Luis Abram,pe PER,DF,Atlanta Utd,26,1996,16.2,1029,149,663,353,18,7,1029,1,0,0.0,0,0.0,654,2964,1751,5,4,0,3,1,729,1,Matches
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,28,1994,21.3,1289,121,649,592,53,24,1289,5,4,80.0,1,20.0,712,2835,1397,5,4,2,7,0,860,3,Matches
3,Daniel Aceves,mx MEX,DF,Chicago Fire,21,2001,9.5,568,52,197,245,130,9,568,15,6,40.0,8,53.3,276,1382,647,21,14,1,15,2,292,34,Matches
4,Bryan Acosta,hn HON,MF,Colorado Rapids,29,1993,12.4,636,29,140,362,143,10,636,11,9,81.8,1,9.1,329,1663,616,11,11,3,12,8,388,24,Matches
5,Bryan Acosta,hn HON,MF,Portland Timbers,29,1993,5.1,266,11,59,170,37,3,266,1,1,100.0,0,0.0,133,569,172,0,1,0,2,2,139,3,Matches
6,Kellyn Acosta,us USA,MF,Los Angeles FC,27,1995,16.6,849,16,145,489,225,3,849,12,7,58.3,4,33.3,428,1616,703,9,6,0,13,7,540,24,Matches
7,Luciano Acosta,ar ARG,MF,FC Cincinnati,28,1994,28.9,1882,6,134,851,923,135,1873,187,87,46.5,88,47.1,1156,6574,3310,116,94,54,85,65,1390,226,Matches
8,Sam Adekugbe,ca CAN,"FW,DF",Vancouver,28,1995,4.5,285,12,62,128,97,5,285,6,4,66.7,2,33.3,180,833,348,7,12,2,7,1,206,35,Matches
9,Samuel Adeniran,us USA,FW,St. Louis,24,1998,10.5,305,12,24,103,186,54,304,29,14,48.3,15,51.7,168,1401,707,32,21,16,38,10,207,46,Matches
10,Harrison Afful,gh GHA,DF,Charlotte,36,1986,10.6,771,50,240,423,116,4,771,16,11,68.8,3,18.8,350,1576,795,14,8,0,12,7,459,11,Matches
11,Stephen Afrifa,ca CAN,FW,Sporting KC,21,2001,0.6,14,1,1,4,9,3,14,3,1,33.3,1,33.3,6,36,8,1,1,1,4,0,3,1,Matches
12,William Agada,ng NGA,FW,Sporting KC,23,1999,7.6,225,3,10,92,126,41,225,8,6,75.0,1,12.5,154,713,222,10,7,5,14,17,175,48,Matches
13,Giovanni Aguilar,us USA,MF,Vancouver,24,1998,0.1,6,0,3,3,0,0,6,0,0,,0,,2,6,1,0,0,0,0,1,3,0,Matches
14,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,23,1999,6.4,408,12,64,188,157,27,408,18,5,27.8,10,55.6,254,1370,701,21,17,7,14,7,316,50,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,22,2000,2.1,77,4,6,29,43,13,77,6,3,50.0,3,50.0,47,164,75,4,1,5,16,3,55,23,Matches
16,Ali Ahmed,ca CAN,"MF,DF",Vancouver,22,2000,12.5,699,11,95,341,275,37,699,46,24,52.2,14,30.4,487,3098,1850,53,30,9,28,20,485,105,Matches
17,Carlos Akapo,gq EQG,DF,San Jose,29,1993,23.8,1654,113,503,687,483,57,1654,75,35,46.7,31,41.3,831,4996,2563,71,56,15,44,17,895,123,Matches
18,Matai Akinmboni,us USA,DF,D.C. United,16,2006,2.0,117,13,66,44,7,1,117,0,0,,0,,77,219,108,0,0,0,0,0,82,0,Matches
19,Ayo Akinola,ca CAN,FW,Toronto FC,23,2000,6.2,207,3,13,86,110,15,207,7,2,28.6,3,42.9,119,519,164,6,5,3,20,12,165,40,Matches
20,Ayo Akinola,ca CAN,"FW,MF",San Jose,23,2000,0.6,28,4,8,9,11,2,28,0,0,,0,,12,31,22,0,2,0,4,0,15,3,Matches
21,Joey Akpunonu,us USA,DF,FC Cincinnati,21,2001,0.1,4,0,3,1,0,0,4,0,0,,0,,2,1,0,0,0,0,0,0,2,0,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,33,1989,4.9,382,17,84,165,135,9,382,5,2,40.0,2,40.0,232,1181,723,13,10,2,3,2,279,49,Matches
23,Tony Alfaro,us USA,DF,NYCFC,29,1993,4.2,251,14,75,159,18,4,251,0,0,,0,,132,640,362,6,3,0,0,0,174,5,Matches
24,Tony Alfaro,us USA,DF,LA Galaxy,29,1993,4.2,274,57,169,105,1,0,274,0,0,,0,,165,733,392,1,0,0,2,0,171,1,Matches
25,Noah Allen,us USA,DF,Inter Miami,18,2004,13.9,955,44,298,456,206,14,955,13,7,53.8,3,23.1,560,2770,1339,31,21,6,13,7,620,67,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
26,Rasmus Alm,se SWE,"MF,FW",St. Louis,27,1995,12.2,415,6,53,142,229,33,415,18,7,38.9,9,50.0,211,1203,536,20,12,6,17,6,263,81,Matches
27,Thiago Almada,ar ARG,MF,Atlanta Utd,21,2001,30.3,2294,8,225,1155,958,76,2291,176,95,54.0,63,35.8,1629,10775,5135,131,131,26,70,63,1856,170,Matches
28,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,37,1985,1.1,92,4,22,52,21,2,92,3,1,33.3,0,0.0,52,251,135,1,2,0,1,0,67,1,Matches
29,Jozy Altidore,us USA,FW,New England,33,1989,2.3,69,0,4,32,33,8,69,1,0,0.0,1,100.0,50,142,26,0,2,0,6,4,59,13,Matches
30,Efrain Alvarez,mx MEX,"MF,FW",LA Galaxy,20,2002,4.2,248,4,32,100,116,16,248,10,2,20.0,8,80.0,153,821,311,7,9,5,11,10,182,39,Matches
