Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Luis Abram,pe PER,DF,Atlanta Utd,26,1996,16.2,907,849,58,23,0,4,1,6,0,0,0,0,796,0,4,Matches
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,28,1994,21.3,1109,1067,42,13,0,6,2,29,0,0,0,0,952,0,3,Matches
3,Daniel Aceves,mx MEX,DF,Chicago Fire,21,2001,9.5,436,352,79,6,0,0,33,71,2,1,1,0,321,5,13,Matches
4,Bryan Acosta,hn HON,MF,Colorado Rapids,29,1993,12.4,533,477,53,23,1,15,49,2,25,19,6,0,417,3,7,Matches
5,Bryan Acosta,hn HON,MF,Portland Timbers,29,1993,5.1,222,206,15,9,0,2,6,2,4,3,1,0,192,1,3,Matches
6,Kellyn Acosta,us USA,MF,Los Angeles FC,27,1995,16.6,719,652,66,12,3,6,58,3,51,36,12,0,584,1,5,Matches
7,Luciano Acosta,ar ARG,MF,FC Cincinnati,28,1994,28.9,1474,1251,211,75,39,16,121,17,82,44,17,5,1043,12,40,Matches
8,Sam Adekugbe,ca CAN,"FW,DF",Vancouver,28,1995,4.5,248,230,17,2,0,0,16,15,0,0,0,0,205,1,4,Matches
9,Samuel Adeniran,us USA,FW,St. Louis,24,1998,10.5,163,151,12,0,0,1,15,2,0,0,0,0,91,0,9,Matches
10,Harrison Afful,gh GHA,DF,Charlotte,36,1986,10.6,678,595,82,11,1,3,7,71,0,0,0,0,574,1,9,Matches
11,Stephen Afrifa,ca CAN,FW,Sporting KC,21,2001,0.6,5,3,2,0,0,0,0,0,0,0,0,0,5,0,0,Matches
12,William Agada,ng NGA,FW,Sporting KC,23,1999,7.6,162,138,23,0,0,3,0,4,0,0,0,0,129,1,3,Matches
13,Giovanni Aguilar,us USA,MF,Vancouver,24,1998,0.1,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
14,Daniel Aguirre,us USA,"MF,FW",LA Galaxy,23,1999,6.4,329,310,18,2,0,1,17,10,6,3,2,0,277,1,14,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,22,2000,2.1,36,34,2,0,0,0,0,0,0,0,0,0,25,0,3,Matches
16,Ali Ahmed,ca CAN,"MF,DF",Vancouver,22,2000,12.5,539,509,29,8,0,2,23,21,0,0,0,0,465,1,16,Matches
17,Carlos Akapo,gq EQG,DF,San Jose,29,1993,23.8,1299,1064,232,12,2,3,48,220,0,0,0,0,991,3,53,Matches
18,Matai Akinmboni,us USA,DF,D.C. United,16,2006,2.0,107,97,6,1,0,1,1,5,0,0,0,0,90,4,1,Matches
19,Ayo Akinola,ca CAN,FW,Toronto FC,23,2000,6.2,150,137,12,0,0,3,5,0,0,0,0,0,125,1,4,Matches
20,Ayo Akinola,ca CAN,"FW,MF",San Jose,23,2000,0.6,14,13,1,0,0,0,0,0,0,0,0,0,12,0,1,Matches
21,Joey Akpunonu,us USA,DF,FC Cincinnati,21,2001,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,33,1989,4.9,342,312,28,4,1,2,14,23,1,0,0,0,272,2,6,Matches
23,Tony Alfaro,us USA,DF,NYCFC,29,1993,4.2,220,213,7,3,0,1,3,4,0,0,0,0,179,0,5,Matches
24,Tony Alfaro,us USA,DF,LA Galaxy,29,1993,4.2,233,210,23,12,0,2,0,0,0,0,0,0,201,0,1,Matches
