Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Atlanta Utd,33,34.0,79,3,1,396,389,68,564,313,325,3,4,2,1697,305,359,45.9
vs Austin,26,34.0,67,0,0,383,318,65,663,283,322,2,2,1,1599,460,416,52.5
vs CF Montréal,31,34.0,65,3,2,380,386,73,517,365,323,2,3,3,1940,422,362,53.8
vs Charlotte,32,34.0,72,3,2,382,440,94,507,294,276,6,5,2,1840,467,470,49.8
vs Chicago Fire,26,34.0,68,3,3,453,380,44,602,284,283,8,2,3,1862,445,430,50.9
vs Colorado Rapids,35,34.0,56,2,0,342,374,50,638,282,246,1,4,0,1647,441,403,52.3
vs Columbus Crew,28,34.0,73,2,2,364,358,98,446,362,350,2,7,4,1843,322,249,56.4
vs D.C. United,31,34.0,67,4,2,428,440,65,573,274,298,5,2,1,1795,395,622,38.8
vs Dynamo FC,25,34.0,76,4,1,403,408,32,663,328,317,4,6,0,1683,396,361,52.3
vs FC Cincinnati,27,34.0,87,5,4,450,400,45,592,362,343,3,9,1,1899,372,491,43.1
vs FC Dallas,29,34.0,72,3,3,383,358,78,619,329,273,2,1,0,1807,410,392,51.1
vs Inter Miami,36,34.0,69,1,1,391,400,78,504,355,321,1,6,0,1929,379,281,57.4
vs LA Galaxy,34,34.0,90,4,4,435,344,65,631,324,317,3,5,1,1746,270,246,52.3
vs Los Angeles FC,28,34.0,73,2,0,398,421,41,527,333,394,5,9,1,1898,358,409,46.7
vs Minnesota Utd,30,34.0,61,0,0,346,327,38,673,322,369,1,5,3,1863,462,445,50.9
vs Nashville,24,34.0,73,2,1,390,354,37,563,274,283,4,5,1,1738,485,518,48.4
vs New England,32,34.0,73,4,2,395,333,50,616,288,328,3,3,3,1853,392,400,49.5
vs NY Red Bulls,28,34.0,92,4,3,467,466,67,415,296,361,5,4,1,2026,657,688,48.8
vs NYCFC,29,34.0,74,2,1,440,391,62,554,268,348,4,3,1,1694,378,393,49.0
vs Orlando City,28,34.0,95,7,5,472,378,70,552,297,294,3,5,1,1699,439,336,56.6
vs Philadelphia,23,34.0,83,7,5,394,434,35,552,340,262,2,11,3,1841,466,466,50.0
vs Portland Timbers,31,34.0,71,1,1,415,450,84,651,307,353,3,1,1,1884,471,452,51.0
vs Real Salt Lake,31,34.0,59,1,0,366,362,51,547,298,322,4,0,0,1738,412,365,53.0
vs San Jose,25,34.0,61,2,1,387,318,33,615,322,376,5,6,1,1823,335,365,47.9
vs Seattle,27,34.0,77,7,5,395,321,39,565,300,289,1,1,3,1744,422,443,48.8
vs Sporting KC,30,34.0,66,1,0,397,313,75,465,287,380,7,6,1,1723,328,350,48.4
vs St. Louis,29,34.0,81,1,0,376,461,63,616,344,337,4,5,3,2044,550,528,51.0
vs Toronto FC,39,34.0,47,1,0,443,305,60,661,361,406,3,1,0,1973,320,334,48.9
vs Vancouver,28,34.0,83,3,1,377,386,35,617,281,228,1,8,4,1605,442,423,51.1
